"Active From","Вступление в силу"
"Active To","Утрата силы"
"Apply To Products","Применить нижеупомянутые настройки к товарам?"
"Available Product Listing Sort By","Критерии упорядочивания"
"CMS Block","Добавить блок на страницу?"
"Color","Цвет"
"Country of Manufacture","Страна производства"
"Custom Design","Тема"
"Custom Layout Update","Дополнительные макетные правила"
"Date Of Birth","Дата рождения"
"Default Product Listing Sort By","Стандартный критерий упорядочивания"
"Description","Описание"
"Display Mode","Способ отображения"
"Include in Navigation Menu","Включить в товарное меню?"
"Is Active","Публиковать?"
"Is Anchor","Включить пошаговую фильтрацию?"
"Layered Navigation Price Step","Шаг цены для пошаговой фильтрации"
"Maximum 255 chars","Не более 255 знаков"
"Meta Description","Описание для поисковых роботов"
"Meta Keywords","Ключевые слова для поисковых роботов"
"Meta Title","Заголовок страницы для поисковых роботов"
"Name","Название"
"NOT LOGGED IN","Анонимный посетитель"
"Page Layout","Тип макета"
"Page Title","Заголовок страницы в браузере"
"Price","Цена"
"Price View","Формат витринных ценников"
"Set Product as New from Date","Считать новинкой с"
"Set Product as New to Date","Считать новинкой до"
"Short Description","Краткое описание"
"SKU","Артикул"
"Special Price","Цена со скидкой"
"Special Price From Date","Вступление в силу скидки"
"Special Price To Date","Утрата силы скидкой"
"Status","Продавать?"
"Thumbnail","Миниатюра"
"Thumbnail Image","Миниатюрное изображение"
"Tier Price","Скидка за объём заказа"
"URL Key","Название в веб-адресе"
"Use Parent Category Settings","Использовать настройки родительского товарного раздела?"
"Weight","Вес"
