"Currency","Валюта"
"Mage_Currencysymbol::Currency","Валюта"
"Currency Rates","Курсы"
"Custom currency symbols were applied successfully.","Система успешно сохранила нестандартные знаки валют."
"Manage Currency","Валюты"
"Manage Currency Rates","Валютные курсы"
"Manage Currency Symbols","Знаки валют"
"Rates","Валютные курсы"
"Save Currency Symbols","Сохранить знаки валют"
"Symbol","Знак"
"Symbols","Знаки"
"System","System"
"Use Default","Use Default"
"Use Standard","Использовать стандартный"
"Use Website","Use Website"
